City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Araouane,ML,2022-03-12 23:44:58,18.9048,-3.5265,70.79,10,0,10.87
204,San Quintin,MX,2022-03-12 23:44:59,30.4833,-115.95,64.38,41,63,11.74
205,Kalmunai,LK,2022-03-12 23:44:59,7.4167,81.8167,78.64,82,97,8.19
206,Macau,MO,2022-03-12 23:44:59,22.2006,113.5461,73.2,83,20,1.14
207,Nanortalik,GL,2022-03-12 23:45:00,60.1432,-45.2371,14.11,69,100,37.13
208,Ust-Karsk,RU,2022-03-12 23:45:00,52.7011,118.8077,11.17,93,93,0.89
209,Pochutla,MX,2022-03-12 23:45:00,15.7432,-96.4661,84.02,56,29,9.57
210,Orapa,BW,2022-03-12 23:45:01,-21.2833,25.3667,70.36,57,0,11.48
211,Samarai,PG,2022-03-12 23:45:01,-10.6167,150.6667,84.97,72,100,12.5
212,Nuuk,GL,2022-03-12 23:45:02,64.1835,-51.7216,5.61,85,100,10.36
213,Asau,RO,2022-03-12 23:45:02,46.4333,26.4,29.95,63,100,3.96
214,Hasaki,JP,2022-03-12 23:44:23,35.7333,140.8333,52.29,75,92,2.89
215,Cabinda,AO,2022-03-12 23:45:02,-5.55,12.2,79.25,84,100,3.83
216,Olenegorsk,RU,2022-03-12 23:45:03,68.15,33.3,23.36,99,99,1.28
217,Kununurra,AU,2022-03-12 23:40:25,-15.7667,128.7333,82.38,94,82,3.44
218,Lompoc,US,2022-03-12 23:45:03,34.6391,-120.4579,75.69,61,0,15.99
219,Mercedes,AR,2022-03-12 23:45:04,-34.6515,-59.4307,64.85,53,0,7.0
220,Cherskiy,RU,2022-03-12 23:45:04,68.75,161.3,-6.41,98,100,2.04
221,Bridlington,GB,2022-03-12 23:44:25,54.0831,-0.1919,46.89,88,97,22.06
222,Thompson,CA,2022-03-12 23:45:04,55.7435,-97.8558,12.36,52,75,6.91
223,Hay River,CA,2022-03-12 23:45:05,60.8156,-115.7999,3.18,66,75,9.22
224,Marystown,CA,2022-03-12 23:45:05,47.1666,-55.1483,38.86,100,100,8.01
225,Eyl,SO,2022-03-12 23:45:05,7.9803,49.8164,74.16,82,74,13.31
226,Norrtalje,SE,2022-03-12 23:45:06,59.758,18.705,29.35,81,95,3.31
227,Portland,US,2022-03-12 23:41:07,45.5234,-122.6762,55.42,75,100,11.5
228,Hue,VN,2022-03-12 23:45:06,16.4667,107.6,66.31,100,40,2.3
229,Abu Samrah,SY,2022-03-12 23:46:07,35.3029,37.1841,37.4,92,97,6.85
230,Lata,PT,2022-03-12 23:46:07,40.1629,-8.3327,49.08,97,90,4.12
231,Tirumakudal Narsipur,IN,2022-03-12 23:46:08,12.21,76.9064,68.04,43,40,1.12
232,Kampot,KH,2022-03-12 23:46:08,10.6167,104.1833,77.05,81,100,4.52
233,Narayanpet,IN,2022-03-12 23:46:08,16.7333,77.5,80.87,37,92,5.46
234,Vila,PT,2022-03-12 23:46:09,42.0304,-8.1588,40.08,93,99,4.97
235,Norman Wells,CA,2022-03-12 23:46:09,65.282,-126.8329,-3.96,54,75,23.02
236,Vorsma,RU,2022-03-12 23:46:10,55.9856,43.2717,8.44,99,86,2.75
237,Doembang Nangbuat,TH,2022-03-12 23:46:10,14.8333,100.1,81.36,72,99,6.26
238,Avila,ES,2022-03-12 23:46:10,40.5833,-5.0,42.66,99,100,9.69
239,Carmen,MX,2022-03-12 23:46:11,18.6333,-91.8333,74.17,88,94,30.62
240,Were Ilu,ET,2022-03-12 23:46:11,10.6,39.4333,50.85,59,67,5.23
241,Port Antonio,JM,2022-03-12 23:46:12,18.18,-76.4612,81.0,83,1,10.42
242,Vila Velha,BR,2022-03-12 23:45:50,-20.3297,-40.2925,80.55,88,75,5.75
243,Oistins,BB,2022-03-12 23:43:22,13.0667,-59.5333,77.09,73,20,23.02
244,Bay Roberts,CA,2022-03-12 23:46:12,47.5999,-53.2648,38.03,94,100,3.0
245,Havelock,US,2022-03-12 23:46:13,34.8791,-76.9013,40.95,63,95,8.01
246,Alexandria,EG,2022-03-12 23:45:21,31.2156,29.9553,51.76,66,40,3.44
247,Moose Factory,CA,2022-03-12 23:46:13,51.2585,-80.6094,3.2,47,0,9.22
248,Nelson Bay,AU,2022-03-12 23:46:14,-32.7167,152.15,76.08,74,81,1.99
249,Olafsvik,IS,2022-03-12 23:46:14,64.8945,-23.7142,37.04,64,79,17.4
250,Lagoa,PT,2022-03-12 23:46:15,39.05,-27.9833,56.82,62,82,18.03
251,San Cristobal,VE,2022-03-12 23:46:16,7.7669,-72.225,73.58,94,92,1.52
252,Pingliang,CN,2022-03-12 23:46:16,35.5392,106.6861,52.83,65,0,5.68
253,Kota Tinggi,MY,2022-03-12 23:46:16,1.7381,103.8999,77.29,91,58,1.74
254,Kolpashevo,RU,2022-03-12 23:46:17,58.3131,82.9089,-22.45,100,91,0.27
255,Shimoda,JP,2022-03-12 23:46:17,34.6667,138.95,55.76,60,99,8.03
256,Saint-Paul,RE,2022-03-12 23:46:18,-21.0096,55.2707,77.11,81,15,4.16
257,Hamilton,US,2022-03-12 23:45:39,39.1834,-84.5333,25.77,49,40,20.71
258,Shenjiamen,CN,2022-03-12 23:46:18,29.9576,122.298,58.48,92,54,20.6
259,Ladnun,IN,2022-03-12 23:46:19,27.65,74.3833,73.2,30,0,7.92
260,Aitape,PG,2022-03-12 23:46:19,-3.1374,142.3475,84.94,71,94,5.39
261,Yarkovo,RU,2022-03-12 23:46:20,57.4028,67.0786,-18.76,100,79,3.65
262,Blyth,GB,2022-03-12 23:46:20,55.1271,-1.5086,47.08,78,40,6.91
263,Chengde,CN,2022-03-12 23:46:20,40.9725,117.9361,41.83,70,70,2.64
264,Xiaoweizhai,CN,2022-03-12 23:46:21,26.1903,107.5125,62.35,98,100,2.3
265,Rock Sound,BS,2022-03-12 23:46:21,24.9,-76.2,77.59,85,2,12.39
266,Killybegs,IE,2022-03-12 23:46:22,54.6333,-8.45,44.38,78,99,18.48
267,Codrington,AU,2022-03-12 23:46:22,-38.2667,141.9667,72.46,43,0,2.93
268,Cayenne,GF,2022-03-12 23:46:23,4.9333,-52.3333,76.08,5,100,8.05
269,Srandakan,ID,2022-03-12 23:46:24,-7.9386,110.2506,78.73,87,100,5.03
270,Candolim,IN,2022-03-12 23:46:24,15.5181,73.7626,78.8,83,20,0.0
271,Biltine,TD,2022-03-12 23:46:25,14.5333,20.9167,75.83,13,4,13.51
272,Amalapuram,IN,2022-03-12 23:46:25,16.5833,82.0167,69.8,84,20,2.39
273,Namibe,AO,2022-03-12 23:47:26,-15.1961,12.1522,72.43,82,98,8.93
274,Atambua,ID,2022-03-12 23:47:26,-9.1061,124.8925,79.3,77,88,2.55
275,Santa Isabel Do Rio Negro,BR,2022-03-12 23:47:27,-0.4139,-65.0192,74.48,97,95,2.06
276,Kristiansund,NO,2022-03-12 23:47:27,63.1115,7.732,48.85,29,87,9.22
277,Yulara,AU,2022-03-12 23:47:28,-25.2406,130.9889,78.64,17,82,10.36
278,Kavaratti,IN,2022-03-12 23:47:28,10.5669,72.642,82.54,73,24,8.79
279,Wahpeton,US,2022-03-12 23:44:03,46.2652,-96.6059,28.42,64,0,20.71
280,Bowen,AU,2022-03-12 23:47:29,-20.0167,148.2333,82.65,66,97,23.51
281,Santa Maria,BR,2022-03-12 23:47:29,-29.6842,-53.8069,65.5,82,20,5.75
282,Hurghada,EG,2022-03-12 23:44:40,27.2574,33.8129,53.64,43,0,16.11
283,Batagay-Alyta,RU,2022-03-12 23:47:30,67.8006,130.4114,-13.07,88,99,5.08
284,Rizhao,CN,2022-03-12 23:47:30,35.4275,119.4553,51.06,88,45,4.14
285,Rio Tercero,AR,2022-03-12 23:47:30,-32.173,-64.1141,63.84,57,4,7.29
286,Stykkisholmur,IS,2022-03-12 23:47:31,65.0757,-22.7297,33.01,79,85,12.75
287,Dakoro,NE,2022-03-12 23:47:31,14.5106,6.765,75.4,20,38,10.6
288,Hofn,IS,2022-03-12 23:47:31,64.2539,-15.2082,38.07,69,100,5.84
289,Inhambane,MZ,2022-03-12 23:47:32,-23.865,35.3833,74.97,80,39,6.93
290,Anadyr,RU,2022-03-12 23:47:32,64.75,177.4833,5.5,71,0,4.47
291,Saint-Georges,GD,2022-03-12 23:47:33,12.0564,-61.7485,78.48,78,40,25.32
292,Vanavara,RU,2022-03-12 23:47:33,60.34,102.2797,-21.6,100,99,2.01
293,Matadi,CD,2022-03-12 23:47:33,-5.8167,13.45,76.1,97,100,2.37
294,Deputatskiy,RU,2022-03-12 23:47:34,69.3,139.9,-12.93,99,100,3.02
