City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Gizo,SB,-8.103,156.8419,81.86,78,91,9.86,light rain
187,Nikolskoye,RU,59.7035,30.7861,42.69,94,14,3.36,few clouds
188,Urumqi,CN,43.801,87.6005,36.55,87,75,4.47,broken clouds
189,Erzin,TR,36.9559,36.2,44.87,85,95,4.72,overcast clouds
190,Mamakan,RU,57.8161,114.0028,-2.69,100,96,1.21,overcast clouds
191,Astara,AZ,38.5,48.6667,38.1,86,84,0.98,broken clouds
192,Requena,ES,39.4883,-1.1004,47.52,89,100,7.76,light rain
193,Haines Junction,CA,60.7522,-137.5108,30.15,64,91,6.91,overcast clouds
194,Mahebourg,MU,-20.4081,57.7,80.26,85,19,3.53,few clouds
195,Festus,US,38.2206,-90.396,69.49,64,99,7.78,overcast clouds
196,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,55,0,20.71,clear sky
197,Purificacion,CO,3.8587,-74.9313,84.79,63,29,1.95,scattered clouds
198,Maniitsoq,GL,65.4167,-52.9,-0.02,85,100,15.5,overcast clouds
199,San Jose Del Guaviare,CO,2.5729,-72.6459,82.74,72,28,6.2,scattered clouds
200,Guarda,PT,40.5373,-7.2658,49.23,51,34,16.75,scattered clouds
201,Portel,BR,-1.9356,-50.8211,81.55,84,72,4.12,broken clouds
202,El Alto,PE,-4.2714,-81.2147,82.06,62,95,6.11,overcast clouds
203,Mount Gambier,AU,-37.8333,140.7667,60.71,94,23,6.91,few clouds
204,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,25.32,scattered clouds
205,Marfino,RU,55.7028,37.3822,32.25,34,0,6.71,clear sky
206,Payo,ID,-3.7508,103.6372,74.62,99,100,0.6,overcast clouds
207,Finale Ligure,IT,44.1695,8.3436,62.96,55,100,18.01,overcast clouds
208,Puerto Penasco,MX,31.3167,-113.5333,65.91,37,0,0.0,clear sky
209,San Cristobal,VE,7.7669,-72.225,73.58,52,80,5.55,broken clouds
210,Coquimbo,CL,-29.9533,-71.3436,67.73,68,0,8.05,clear sky
211,Kavaratti,IN,10.5669,72.642,83.17,73,70,12.82,broken clouds
212,Ixtapa,MX,20.7,-105.2,63.63,77,0,2.3,clear sky
213,Asau,RO,46.4333,26.4,36.52,35,99,7.83,overcast clouds
214,Colares,PT,38.7992,-9.4469,68.29,51,20,32.01,few clouds
215,Bayan,CN,46.0833,127.4,1.99,94,5,1.52,clear sky
216,Iglesias,IT,39.3114,8.535,58.78,64,99,14.79,overcast clouds
217,Clarksburg,US,39.2807,-80.3445,60.93,74,100,0.0,overcast clouds
218,San Angelo,US,31.4638,-100.437,71.94,32,0,15.99,clear sky
219,Mounana,GA,-1.4085,13.1586,87.71,70,100,1.36,overcast clouds
220,Gbarnga,LR,6.9956,-9.4722,96.4,33,51,3.74,broken clouds
221,Butaritari,KI,3.0707,172.7902,81.14,75,84,18.03,broken clouds
222,Sobolevo,RU,54.4299,31.8996,18.19,89,69,3.89,broken clouds
223,Iznoski,RU,54.9881,35.3108,20.77,90,32,2.86,scattered clouds
224,Port Elizabeth,ZA,-33.918,25.5701,75.09,68,0,14.97,clear sky
225,Talnakh,RU,69.4865,88.3972,11.21,97,100,10.25,snow
226,Polovinnoye,RU,54.7914,65.9864,-2.54,100,97,2.89,overcast clouds
227,Coromandel,BR,-18.4733,-47.2003,79.43,62,62,8.05,broken clouds
228,Port Macquarie,AU,-31.4333,152.9167,66.88,84,88,3.38,overcast clouds
229,Aberystwyth,GB,52.4155,-4.0829,53.89,90,91,15.97,overcast clouds
230,Prince Rupert,CA,54.3161,-130.3201,42.49,81,100,23.02,light rain
231,Cuamba,MZ,-14.8031,36.5372,73.94,88,43,2.37,scattered clouds
232,Suchitlan,MX,19.3667,-103.7167,75.99,38,0,0.0,clear sky
233,Kenora,CA,49.8167,-94.4337,31.17,93,100,8.05,overcast clouds
234,Kanniyakumari,IN,8.0833,77.5667,82.24,82,82,13.31,broken clouds
235,Isangel,VU,-19.55,169.2667,79.92,78,100,1.72,moderate rain
236,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,69,20,13.8,few clouds
237,Codrington,AU,-38.2667,141.9667,61.54,96,7,6.53,clear sky
238,Vardo,NO,70.3705,31.1107,33.78,75,0,27.63,clear sky
239,Seydi,TM,39.4816,62.9137,39.92,75,100,7.23,overcast clouds
240,Ancud,CL,-41.8697,-73.8203,53.22,56,34,8.19,scattered clouds
241,Huejuquilla El Alto,MX,22.6,-103.8667,62.62,15,1,3.78,clear sky
242,Namatanai,PG,-3.6667,152.4333,79.66,79,93,6.58,light rain
243,Constitucion,CL,-35.3333,-72.4167,67.05,64,7,14.76,clear sky
244,Marsa Matruh,EG,31.3525,27.2453,61.0,51,0,9.22,clear sky
245,Sohbatpur,PK,28.5202,68.5434,89.08,12,24,2.51,few clouds
246,Lebu,CL,-37.6167,-73.65,61.3,63,0,16.69,clear sky
247,Toba,JP,34.4833,136.85,54.09,73,100,1.99,overcast clouds
248,Barcelos,PT,41.5388,-8.6151,62.74,52,31,4.03,scattered clouds
249,Ploemeur,FR,47.7333,-3.4333,57.85,58,0,10.36,clear sky
250,Makakilo City,US,21.3469,-158.0858,73.29,76,0,9.22,clear sky
251,Anchorage,US,61.2181,-149.9003,34.68,86,100,6.91,overcast clouds
252,Saint George,US,37.1041,-113.5841,51.94,39,0,3.0,clear sky
253,Kidal,ML,18.4411,1.4078,97.63,10,28,10.51,scattered clouds
254,Osakarovka,KZ,50.565,72.5692,6.42,93,96,15.1,overcast clouds
255,Vuktyl,RU,63.8567,57.3094,26.4,87,100,3.89,overcast clouds
256,Meulaboh,ID,4.1363,96.1285,75.27,92,100,5.64,light rain
257,Tura,IN,25.5198,90.2201,74.7,35,5,2.55,clear sky
258,Zhicheng,CN,30.2956,111.5047,46.08,73,93,4.29,overcast clouds
259,Atbasar,KZ,51.8,68.3333,0.66,95,92,8.9,overcast clouds
260,Serenje,ZM,-13.2325,30.2352,65.7,94,100,3.29,moderate rain
